ID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
27,1,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,2,30.2,2592
28,1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,1,90.25,5135
29,0,0,0,1,17,1,0,0,0,0,0,0,2,2,0,1,3,64.7,184
30,0,1,1,0,71,1,2,1,2,2,2,2,0,0,2,1,1,96.35,5354
31,1,1,1,0,2,1,0,1,0,0,2,0,2,2,0,1,1,95.5,1360
32,0,0,1,1,27,1,0,0,2,2,2,2,0,0,1,0,3,66.15,1449
33,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,20.2,1610
34,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45.25,3815
35,0,0,1,1,72,1,2,1,2,2,0,2,2,0,2,0,0,99.9,5644
36,1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,1,2,69.7,2742
37,0,0,0,0,46,1,0,1,0,0,2,0,0,0,0,1,1,74.8,3073
38,1,0,0,0,34,1,2,1,0,2,2,0,2,2,0,1,2,106.35,3074
39,0,0,0,0,11,1,2,1,0,0,2,0,2,2,0,1,0,97.85,202
40,1,0,1,1,10,1,0,0,0,2,0,0,0,0,1,0,3,49.55,4024
41,0,0,1,1,70,1,2,0,2,2,0,0,2,0,2,1,1,69.2,4118
42,0,0,1,1,17,1,0,2,1,1,1,1,1,1,1,0,3,20.75,3572
43,0,0,0,0,63,1,2,0,2,2,2,2,2,0,2,1,1,79.85,4105
44,0,0,1,0,13,1,2,0,2,2,0,2,2,0,0,1,2,76.2,6503
45,0,0,0,0,49,1,2,1,0,0,0,0,0,2,0,1,2,84.5,3348
46,1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,3,49.25,6481
47,0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1,2,80.65,809
48,1,0,0,0,52,1,2,0,2,0,0,2,2,2,2,1,1,79.75,3599
49,0,0,1,1,69,1,2,0,2,0,2,2,0,0,2,1,1,64.15,3625
50,0,1,0,0,43,1,2,1,0,2,0,0,2,0,0,1,2,90.25,3285
51,0,0,0,0,15,1,0,1,2,2,0,0,2,2,0,1,1,99.1,789
52,0,1,1,0,25,1,2,0,2,0,0,2,2,0,0,1,1,69.5,1275
53,0,1,1,0,8,1,2,1,0,2,0,0,0,0,0,1,1,80.65,5113
54,0,1,1,1,60,1,0,0,2,2,2,2,0,2,1,1,1,74.85,3782
55,1,1,0,0,18,1,2,1,0,0,0,0,2,2,0,1,2,95.45,1274
56,0,0,1,1,63,1,2,1,2,0,0,0,2,2,1,1,1,99.65,5104
57,1,1,1,1,66,1,2,1,0,2,2,2,2,2,1,1,2,108.45,5555
58,0,0,1,1,34,1,2,2,1,1,1,1,1,1,2,0,1,24.95,6314
59,0,0,0,0,72,1,2,1,0,0,2,2,2,2,2,1,1,107.5,5937
60,0,0,1,0,47,1,2,1,0,0,2,0,2,2,0,1,2,100.5,3985
61,1,0,0,0,60,1,2,1,0,2,0,0,2,0,0,1,0,89.9,4530
62,1,0,1,0,72,0,1,0,2,2,2,0,0,0,2,0,0,42.1,2558
63,0,0,1,1,18,1,0,0,0,0,2,2,0,0,1,1,1,54.4,6459
64,0,0,0,0,9,1,2,1,0,0,0,0,2,2,0,0,2,94.4,6234
65,0,0,0,0,3,1,0,0,0,2,0,2,2,2,0,1,2,75.3,2086
66,1,0,1,0,47,1,2,1,0,2,0,0,0,0,1,1,2,78.9,3157
67,0,0,0,0,31,1,0,0,0,2,2,2,2,2,2,0,3,79.2,2143
68,0,0,1,1,50,1,0,2,1,1,1,1,1,1,2,0,0,20.15,6399
69,1,0,0,0,10,1,0,1,2,0,2,0,0,0,0,1,3,79.85,6290
70,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,3,49.05,4137
71,0,0,1,1,52,1,0,2,1,1,1,1,1,1,1,1,2,20.4,181
72,1,1,1,1,64,1,2,1,2,0,2,2,2,2,2,1,0,111.6,5563
73,1,0,1,1,62,1,2,2,1,1,1,1,1,1,2,1,0,24.25,785
74,0,0,0,1,3,1,0,0,2,0,0,2,0,2,0,1,0,64.5,1295
75,0,1,0,0,56,1,2,1,2,2,2,0,2,2,1,0,2,110.5,5009
76,0,0,0,0,46,1,0,0,0,0,0,0,0,2,1,0,1,55.65,2339
77,0,0,1,1,8,1,0,0,2,2,0,0,0,0,0,0,3,54.65,4071
78,1,1,0,0,30,1,0,0,2,2,0,0,2,2,0,1,2,74.75,1742
79,0,0,1,1,45,1,2,2,1,1,1,1,1,1,1,1,1,25.9,397
80,0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,79.35,5966
81,0,0,1,1,11,0,1,0,2,0,0,0,2,2,0,0,2,50.55,4676
82,0,0,1,0,7,1,0,1,0,0,2,0,0,0,0,1,0,75.15,4199
83,0,0,0,0,42,1,0,1,0,2,2,2,2,2,0,1,0,103.8,3682
84,0,0,1,0,49,1,0,2,1,1,1,1,1,1,2,1,0,20.15,6491
85,1,0,0,0,9,1,2,1,0,2,0,0,2,2,0,1,1,99.3,6364
86,0,0,1,0,35,1,0,0,2,0,0,0,2,0,1,1,0,62.15,1852
87,0,0,1,1,48,1,0,2,1,1,1,1,1,1,2,0,0,20.65,108
88,0,0,1,1,46,1,0,2,1,1,1,1,1,1,2,1,3,19.95,6382
89,1,0,1,0,29,0,1,0,0,0,0,0,2,0,0,0,3,33.75,19
90,1,0,1,1,30,1,0,1,0,2,2,0,0,0,0,0,0,82.05,2229
91,1,1,0,0,1,1,0,1,0,0,0,2,0,0,0,0,2,74.7,5723
92,1,0,1,1,66,1,2,0,2,0,2,2,2,2,2,1,3,84,4717
93,0,0,0,0,65,1,2,1,2,2,2,0,2,2,0,1,1,111.05,5575
94,1,0,0,0,72,1,2,1,0,2,2,0,2,2,2,1,0,100.9,5751
95,0,0,0,0,12,1,2,1,2,0,0,0,0,0,0,1,2,78.95,6384
96,1,0,1,1,71,1,2,0,2,2,0,2,0,0,1,1,1,66.85,4018
97,1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,21.05,252
98,1,0,0,0,52,1,0,2,1,1,1,1,1,1,2,0,0,21,203
99,0,1,1,0,25,1,0,1,0,2,2,0,2,2,0,1,2,98.5,2175
100,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.2,1610
101,0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,2,19.45,1483
102,1,0,0,0,38,1,2,1,0,0,2,2,2,0,1,0,0,95,3122
103,0,1,1,0,66,0,1,0,0,2,2,0,2,0,1,0,0,45.55,2630
104,1,0,1,0,68,1,2,1,0,2,2,2,2,2,2,1,0,110,5833
105,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,3,24.3,1
106,0,0,1,1,72,1,2,1,2,2,0,0,2,2,1,1,2,104.15,5672
107,0,0,0,0,32,0,1,0,2,0,0,0,0,0,1,0,3,30.15,6385
108,1,0,0,0,43,1,2,1,0,0,0,0,2,2,1,0,3,94.35,3358
109,1,0,1,1,72,1,0,2,1,1,1,1,1,1,2,0,1,19.4,658
110,1,0,1,0,55,1,2,1,2,2,0,0,2,0,0,1,2,96.75,4391
111,0,0,0,0,52,1,0,0,2,0,2,2,0,0,1,0,1,57.95,2642
112,0,0,0,0,43,1,0,1,0,2,2,0,2,0,0,1,2,91.65,3380
113,0,1,1,0,37,1,2,1,0,0,0,0,0,0,0,1,2,76.5,2475
114,0,0,1,1,64,0,1,0,0,2,0,2,2,2,2,1,2,54.6,2967
115,1,0,1,1,3,1,0,1,2,2,0,0,2,0,0,0,2,89.85,2128
116,0,0,0,0,36,0,1,0,2,0,0,0,0,0,2,0,0,31.05,240
117,0,0,1,1,10,1,2,1,2,0,0,0,2,2,0,1,2,100.25,124
118,0,0,0,0,41,1,0,2,1,1,1,1,1,1,2,0,3,20.65,6160
119,1,0,1,1,27,1,2,1,0,2,0,2,0,0,0,1,1,85.2,1769
120,0,0,1,1,56,1,2,1,0,0,2,0,2,2,1,1,1,99.8,4581
121,0,0,0,0,6,1,0,2,1,1,1,1,1,1,0,0,3,20.7,230
122,1,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,2,74.4,1931
123,0,0,1,1,7,1,0,0,2,0,0,0,0,0,0,0,3,50.7,3039
124,0,0,1,1,4,1,0,2,1,1,1,1,1,1,0,0,3,20.85,5043
125,1,0,0,0,33,1,0,1,2,0,0,2,2,0,2,1,2,88.95,2632
126,0,1,0,0,27,1,2,1,0,0,2,0,0,0,0,1,2,78.05,1755
127,1,0,1,0,72,1,2,2,1,1,1,1,1,1,2,1,0,23.55,1228
128,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.75,1489
129,1,1,0,0,71,0,1,0,2,2,0,0,2,2,1,1,2,56.45,3403
130,0,0,0,0,13,1,2,1,0,0,0,0,0,2,0,1,2,85.95,394
131,0,0,1,1,25,0,1,0,2,2,2,0,2,2,0,1,1,58.6,912
132,1,0,0,0,67,1,0,0,0,0,0,2,0,0,2,0,0,50.55,2837
133,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,35.45,3032
134,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,44.35,6058
135,0,0,0,0,43,1,2,2,1,1,1,1,1,1,2,1,1,25.7,348
136,0,0,0,0,23,1,0,1,2,0,0,0,0,0,0,1,0,75,1304
137,0,0,1,1,64,1,0,2,1,1,1,1,1,1,2,0,3,20.2,510
138,1,0,0,1,57,1,0,2,1,1,1,1,1,1,2,1,3,19.6,319
139,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3,70.45,5510
140,0,1,1,1,72,1,2,0,2,2,2,2,2,2,2,1,1,88.05,5173
141,0,0,0,0,8,1,2,0,2,0,0,2,0,2,0,0,2,71.15,4664
142,0,0,1,0,61,1,2,1,0,2,0,0,2,2,2,1,0,101.05,4894
143,1,0,0,0,64,1,2,1,2,2,0,0,0,0,1,1,1,84.3,4419
144,1,1,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,23.95,1278
145,0,0,1,1,65,1,2,1,2,2,0,2,2,0,2,1,1,99.05,5168
146,1,0,0,0,3,1,0,2,1,1,1,1,1,1,1,0,3,19.6,4983
147,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,45.65,3821
148,1,0,0,1,30,1,0,0,0,2,2,0,2,0,1,0,1,64.5,1528
149,1,0,1,1,15,1,0,0,0,2,2,2,0,2,0,1,3,69.5,141
150,0,0,1,1,8,1,0,0,0,0,0,2,2,2,0,1,2,68.55,4669
151,1,0,0,0,7,1,2,1,0,0,0,0,2,2,0,0,3,95,5236
152,0,0,1,1,70,1,2,1,2,2,2,0,2,2,1,1,1,108.15,5988
153,1,0,1,1,62,1,0,0,2,2,2,2,2,2,2,0,2,86.1,4370
154,0,0,1,1,6,1,0,2,1,1,1,1,1,1,0,0,3,19.7,250
155,0,0,1,1,14,1,0,1,0,0,0,0,0,2,0,1,0,80.9,290
156,0,0,0,0,22,1,2,1,0,0,0,0,2,0,0,1,0,84.15,1378
157,1,0,1,1,22,1,0,2,1,1,1,1,1,1,1,0,3,20.15,3583
158,1,0,1,1,16,1,0,0,2,0,2,0,2,0,2,0,3,64.25,51
159,1,0,0,0,10,1,2,2,1,1,1,1,1,1,2,0,0,25.7,2166
160,0,0,0,1,13,1,0,0,2,2,0,0,0,0,0,1,2,56,5845
161,0,0,1,0,20,1,2,1,2,0,0,0,0,0,0,0,2,82.4,1047
162,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,69.7,639
163,1,0,0,0,53,1,2,0,0,2,2,2,0,2,2,1,0,73.9,3383
164,0,0,1,1,11,1,0,2,1,1,1,1,1,1,1,0,3,20.6,1966
165,1,0,1,0,69,1,0,2,1,1,1,1,1,1,2,0,3,19.9,659
166,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,0,70.9,2373
167,1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,0,89.05,5071
168,1,1,1,0,58,0,1,0,0,2,2,0,0,2,0,1,2,45.3,2300
169,0,0,1,1,16,1,0,2,1,1,1,1,1,1,0,0,2,20.4,2790
170,1,0,1,0,43,1,0,1,2,0,2,2,0,0,1,1,0,84.25,3064
171,0,0,1,0,2,1,2,1,0,0,2,2,2,2,0,1,2,104.4,2066
172,1,0,1,0,14,1,0,0,0,2,2,2,2,2,2,0,3,81.95,339
173,0,0,1,0,53,1,0,1,0,0,2,0,2,2,1,1,0,94.85,4239
174,0,0,0,0,32,1,0,2,1,1,1,1,1,1,1,0,0,20.55,5230
175,0,0,1,0,34,1,2,2,1,1,1,1,1,1,0,0,2,24.7,5917
176,0,1,0,0,15,1,2,1,0,0,0,0,0,0,0,1,3,74.45,277
177,0,1,0,0,7,1,0,1,2,0,0,0,0,0,0,0,0,76.45,4260
178,0,0,1,1,15,1,2,1,0,2,2,0,2,2,0,1,0,105.35,1001
179,1,0,1,0,61,1,0,2,1,1,1,1,1,1,1,1,1,20.55,459
180,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,29.95,2507
181,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,45.3,3816
182,1,0,0,0,8,1,2,1,0,0,0,0,0,2,0,0,0,84.5,5278
183,1,0,1,1,33,1,0,0,2,0,2,0,2,2,1,0,1,74.75,2104
184,0,0,0,0,13,1,0,1,0,2,2,0,0,0,0,1,2,79.25,216
185,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,24.8,2044
186,1,0,0,0,20,1,0,0,0,2,0,0,0,0,0,1,3,51.8,48
187,1,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,2,30.4,6099
188,0,0,0,0,13,1,0,2,1,1,1,1,1,1,1,0,2,19.65,2090
189,0,0,1,0,40,1,2,0,0,2,0,0,0,0,0,0,1,56.6,2015
190,1,0,1,1,43,1,2,0,2,0,0,2,0,2,1,1,1,71.9,2757
191,1,0,1,0,6,1,0,1,0,2,2,0,0,2,0,1,2,91,4440
192,0,0,1,1,69,1,0,2,1,1,1,1,1,1,2,0,0,19.75,678
193,0,0,1,1,72,1,2,1,2,2,2,0,2,2,2,0,1,109.7,6076
194,1,0,1,1,59,1,0,2,1,1,1,1,1,1,2,0,1,19.3,359
195,0,0,1,0,20,1,0,1,2,2,0,2,2,0,0,1,2,96.55,1502
196,1,0,1,1,24,1,2,2,1,1,1,1,1,1,2,1,0,24.1,4822
197,1,0,0,0,59,1,2,1,0,2,2,2,2,2,0,1,2,111.35,5218
198,1,0,1,1,72,1,2,1,0,2,2,2,2,2,2,1,0,112.25,6038
199,1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,20.75,1621
200,0,0,1,0,27,1,0,1,2,0,0,2,2,2,1,1,1,101.9,2333
201,0,0,0,0,14,1,0,1,0,2,0,2,0,0,0,1,1,80.05,218
202,1,0,1,1,71,1,2,1,2,0,2,0,2,2,2,0,2,105.55,5730
203,1,0,0,1,13,1,0,1,0,0,0,0,2,0,0,1,1,78.3,72
204,1,0,0,0,44,1,0,1,0,0,0,0,0,0,0,0,1,68.85,2552
205,0,0,0,0,33,1,0,1,0,2,0,2,0,0,1,1,0,79.95,2336
206,1,0,1,1,72,0,1,0,2,2,2,2,0,2,2,1,1,55.45,3571
207,1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,2,79.9,5974
208,0,0,0,0,19,1,0,1,2,0,2,2,2,2,0,1,2,106.6,1536
209,1,0,1,0,64,1,0,1,0,2,2,2,2,2,1,1,1,102.45,5291
210,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,46,6174
211,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,25.25,2152
212,1,0,0,1,61,1,0,2,1,1,1,1,1,1,2,0,3,19.75,237
213,0,0,1,1,29,1,0,2,1,1,1,1,1,1,1,0,2,20,4493
214,1,1,1,0,23,1,2,1,0,0,0,0,0,2,0,0,2,86.8,1580
215,0,0,1,0,57,0,1,0,2,2,2,0,2,2,0,1,0,58.75,2976
216,1,0,1,1,72,0,1,0,2,2,2,2,0,0,2,0,1,45.25,2727
217,1,0,1,0,66,0,1,0,2,2,2,2,2,0,2,1,0,56.6,3250
218,1,0,1,1,65,1,2,0,0,2,2,2,2,2,2,1,0,84.2,4450
219,0,0,0,0,8,1,0,1,0,0,0,0,2,0,0,1,0,80,5063
220,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,2,70.15,2329
221,0,0,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,24.75,1390
222,1,0,1,1,1,1,0,2,1,1,1,1,1,1,1,1,2,20.2,1610
223,1,0,1,0,4,1,0,0,0,0,0,2,0,0,0,0,3,50.05,1326
224,0,0,0,0,12,1,0,2,1,1,1,1,1,1,1,1,0,19.35,1807
225,1,0,0,0,24,0,1,0,2,0,0,0,2,2,1,1,3,50.6,525
226,0,0,1,1,31,1,0,0,2,0,2,2,2,2,1,1,3,81.15,2198
227,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,3,55.2,4560
228,1,0,0,0,30,1,2,1,0,0,0,2,0,2,0,1,1,89.9,2365
229,0,0,1,1,47,1,2,0,2,2,0,2,2,2,2,1,1,85.3,3495
230,1,0,0,0,54,1,2,1,2,2,0,2,2,2,2,1,1,108,4756
231,1,0,0,0,50,1,0,1,2,2,0,2,0,2,0,1,1,93.5,4015
232,1,0,0,0,1,1,0,1,2,0,0,0,0,2,0,1,3,84.6,6175
233,0,0,0,0,72,1,0,2,1,1,1,1,1,1,2,0,1,20.25,1016
234,0,0,0,0,29,1,2,2,1,1,1,1,1,1,0,0,2,25.15,5529
235,1,0,0,0,2,1,2,0,0,2,0,0,0,0,0,1,3,54.4,269
236,0,0,0,0,10,0,1,0,0,0,0,2,0,0,2,1,3,29.6,2583
237,1,0,1,0,18,1,2,1,0,0,0,0,0,0,0,1,2,73.15,561
238,0,1,0,0,11,1,0,1,0,2,0,0,2,2,0,1,2,95,231
239,1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,3,19.75,2456
240,0,0,0,0,72,1,2,0,0,2,2,2,2,2,2,0,0,86.6,5128
241,1,0,0,0,72,1,2,1,0,2,2,2,2,2,2,0,0,109.2,5946
242,0,0,1,1,41,1,0,0,2,0,0,2,2,2,1,1,1,74.7,2771
243,0,1,1,0,65,1,0,1,2,2,2,0,0,2,0,0,2,94.4,4999
244,0,1,0,0,13,1,0,0,0,2,2,0,0,0,0,1,2,54.8,5674
245,1,1,0,0,4,1,0,1,2,0,0,0,0,0,0,0,2,75.35,2376
246,1,0,0,0,41,1,2,0,0,0,2,0,0,2,1,0,3,65,2187
247,1,1,0,0,15,1,0,1,0,2,0,0,0,0,0,1,2,74.4,146
248,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,3,48.55,4051
249,1,0,0,0,42,1,2,1,2,2,2,0,0,2,1,1,2,99,3653
250,0,0,1,0,51,1,0,1,2,2,2,0,2,0,1,1,2,93.5,3921
251,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,2,70.4,864
252,1,1,1,0,1,0,1,0,0,2,0,0,2,0,0,0,2,40.2,3414
253,1,0,0,1,32,1,2,0,0,2,2,2,2,2,1,0,1,83.7,2280
254,1,0,0,0,10,1,0,2,1,1,1,1,1,1,0,1,3,19.85,1529
255,0,0,1,1,67,0,1,0,0,2,2,2,2,2,2,1,2,59.55,3494
256,0,0,1,1,61,1,2,1,2,2,2,2,2,2,2,0,1,115.1,5524
257,1,0,0,0,50,1,2,1,2,2,2,2,2,2,1,0,1,114.35,4775
258,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,44.6,6021
259,0,1,1,0,29,0,1,0,2,0,2,0,0,2,0,1,2,45,416
260,1,1,0,0,3,0,1,0,0,0,2,0,0,2,0,1,2,41.15,583
261,1,1,0,0,13,1,2,1,0,2,2,0,2,2,0,1,2,106.9,660
262,1,1,1,0,57,1,2,1,0,2,0,0,0,2,0,1,2,89.85,4178
263,0,0,0,0,31,0,1,0,2,2,0,2,0,2,2,1,0,49.85,942
264,0,0,1,0,45,1,2,1,2,2,2,2,2,2,1,0,3,113.3,4263
265,0,0,1,1,61,1,2,0,2,2,2,2,2,2,2,0,3,88.1,4589
266,1,0,0,0,50,1,2,2,1,1,1,1,1,1,2,0,0,24.9,363
267,0,1,0,0,19,1,0,1,2,2,0,2,2,2,0,1,3,105,1633
268,1,0,0,0,59,1,0,2,1,1,1,1,1,1,2,0,3,19.35,196
269,0,0,1,0,71,1,2,2,1,1,1,1,1,1,2,1,1,24.25,1241
270,0,1,0,0,16,1,0,1,0,0,0,2,2,2,0,1,2,94.45,930
271,1,0,1,0,57,1,0,0,2,2,0,2,0,0,2,1,2,59.75,2987
272,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,24.8,2044
273,1,1,1,0,20,1,2,1,0,2,0,2,2,2,0,0,2,107.05,1790
274,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,70.6,5513
275,1,0,1,0,5,1,2,1,0,2,0,2,0,0,0,1,2,85.4,3422
276,0,0,1,0,52,1,2,1,0,2,2,0,2,2,0,1,2,105.05,4658
277,1,1,1,0,21,1,0,0,2,2,0,0,0,2,0,1,0,64.95,615
278,1,0,0,0,14,0,1,0,0,0,2,2,2,2,0,1,2,55,5873
279,0,0,0,0,5,1,0,0,0,2,0,0,0,0,0,0,0,50.55,2089
280,0,0,0,0,6,1,0,0,2,2,0,0,0,0,0,0,3,55.15,2803
281,0,0,0,0,10,1,0,0,0,2,0,0,0,0,0,0,2,51.2,4212
282,0,0,0,1,1,1,2,2,1,1,1,1,1,1,0,0,3,25.4,2155
283,0,0,0,0,68,1,2,0,2,0,0,0,0,0,0,0,3,54.45,3176
284,1,0,1,1,18,1,0,1,0,0,2,0,2,2,0,0,3,95.15,1306
285,0,0,0,0,22,1,2,1,0,0,0,0,0,0,1,1,1,76,1316
286,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,1,2,44.35,6383
287,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,70,5501
288,1,1,0,0,8,1,0,1,0,2,0,0,0,0,0,1,2,74.5,4955
289,1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,1,1,44.85,3698
290,1,1,0,0,24,1,2,1,0,0,0,0,0,0,0,1,2,76.1,1213
291,1,0,0,0,35,1,0,0,2,2,2,0,0,0,1,0,3,61.2,1655
292,1,0,1,1,23,1,0,1,0,2,2,2,0,0,1,0,3,86.8,1544
293,0,1,0,0,6,1,0,1,0,0,0,0,2,2,0,1,2,89.35,4686
294,0,0,0,0,12,1,0,2,1,1,1,1,1,1,0,0,3,19.7,1823
295,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.25,1611
296,0,0,1,1,71,1,0,1,0,0,2,0,0,0,2,0,2,76.05,4517
297,1,1,1,0,35,1,2,1,0,0,2,0,2,2,0,1,2,100.8,2977
298,1,0,1,1,40,1,2,0,0,0,2,0,2,2,0,1,2,74.55,2613
299,0,0,0,1,1,1,0,1,2,0,0,0,0,0,0,1,3,73.6,5668
300,1,0,0,0,23,1,0,0,0,0,0,0,2,2,1,1,0,64.9,922
301,0,1,0,0,4,1,2,1,0,0,0,0,2,2,0,1,2,95.45,3387
302,1,0,0,0,4,1,0,1,0,0,2,2,0,2,0,1,2,90.4,3083
303,0,0,1,1,68,0,1,0,0,2,2,2,2,2,2,0,1,60.3,3498
304,1,0,0,1,38,1,2,1,0,2,0,0,0,0,0,1,3,81.85,2732
305,1,0,1,1,52,1,2,2,1,1,1,1,1,1,2,0,3,24.8,417
306,1,1,1,0,32,1,2,1,0,0,0,0,0,0,0,1,2,74.9,1943
307,1,0,1,1,29,1,0,0,0,0,2,2,2,2,2,0,3,75.55,1683
308,1,1,1,1,38,1,2,1,0,2,0,0,2,2,0,0,2,101.15,3220
309,1,0,0,1,48,1,2,0,2,0,2,0,2,2,1,1,1,78.75,3173
310,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,0,19.25,1480
311,0,0,0,0,22,1,0,1,2,0,0,2,0,2,0,1,2,89.05,1460
312,0,0,0,0,43,1,2,1,2,2,2,2,2,2,2,0,1,115.05,4134
313,0,1,1,0,5,1,0,1,0,0,0,0,0,0,0,1,2,69.35,2954
314,1,0,0,0,5,1,0,1,0,0,0,0,2,0,0,1,2,80.6,3547
315,1,0,1,1,51,1,2,1,2,2,0,2,2,2,1,0,1,110.05,4697
316,1,0,0,0,71,1,0,2,1,1,1,1,1,1,2,1,1,19.9,643
317,0,0,1,1,38,1,0,0,2,2,0,2,2,2,1,0,1,80.3,2658
318,1,1,1,0,24,1,0,1,0,0,2,0,2,2,0,1,2,93.15,1867
319,1,0,1,0,35,1,2,1,0,0,0,2,2,0,0,1,1,91.5,2813
320,0,1,0,0,54,1,2,0,2,2,0,2,2,2,1,0,0,82.45,3700
